Rennname	Donnergurke	Blitzkaefer	Turboschnecke	Warphamster	Nebelwurst	Krümelrakete	Eisenpinguin	Sturmtoaster	Glitzerpanzer	Feuersalami	Stahlkrabbe	Quantenbrötchen	Plasmaziege	Mondschrauber
Typ	WARM	WARM	WARM	WARM	WARM	WARM	WARM	WARM	COLD	COLD	COLD	COLD	COLD	COLD
Farbe	#ff0	#0ff	#f0f	#4f4	#f80	#f44	#8ff	#c4f	#ff8	#f4a	#0f8	#fa0	#f88	#4ff
Aktiv	1	0	1	1	0	1	1	1	0	0	1	1	1	0
Rang	3	1	2	7	8	5	6	10	13	12	4	9	11	#N/A
KW01		0,59	0,20			0,40	0,38							
KW02		0,32	0,35	0,17	0,19	0,47	0,28		0,00		0,35	0,24		
KW03	0,21	0,24	0,30	0,20	0,13	0,27	0,28		0,05		0,20	0,16		
KW04	0,37	0,18	0,30	0,27	0,13	0,15	0,25	0,00	0,00	0,17	0,35	0,07		
KW05	0,35	0,37	0,20	0,13	0,28	0,25	0,25	0,11	0,00	0,05	0,20	0,24		
KW06	0,27	0,29		0,25	0,23	0,10	0,16	0,10	0,00	0,00	0,30	0,20		
KW07	0,40	0,24	0,50	0,27	0,19	0,25	0,29	0,17	0,06	0,06	0,20	0,12		
KW08	0,27	0,43	0,25	0,30	0,23	0,20	0,15	0,10	0,04	0,00	0,25	0,32		
KW09	0,33	0,41	0,40	0,13	0,18	0,10	0,11	0,15	0,00	0,00	0,30	0,04		
KW10	0,30	0,26	0,50	0,45	0,13	0,20	0,20	0,13		0,00	0,30	0,24		
KW11	0,33	0,24	0,40	0,14	0,15	0,35	0,25	0,08			0,15	0,16	0,13	0,00
KW12	0,20	0,29	0,30	0,13	0,18	0,20	0,23	0,10			0,35	0,16	0,23	0,00
KW13	0,40	0,94		0,33		0,20	0,30	0,20			0,20	0,20	0,00	
KW14	0,25		0,25	0,25		0,45	0,34	0,16			0,25	0,15	0,00	
KW15														
KW16														
KW17														
KW18														
KW19														
KW20														
KW21														
KW22														
KW23														
KW24														
KW25														
KW26														
KW27														
KW28														
KW29														
KW30														
KW31														
KW32														
KW33														
KW34														
KW35														
KW36														
KW37														
KW38														
KW39														
KW40														
KW41														
KW42														
KW43														
KW44														
KW45														
KW46														
KW47														
KW48														
KW49														
KW50														
KW51														
KW52														
KW53														
